a.m.,เอเอ็ม,ก่อนเที่ยง
alarm,อะลาร์ม,"เตือน,ปลุก"
album,อั๊ลบั้ม,"สมุดเก็บภาพ,แผ่นเสียง"
alcohol,แอลคอฮัลล์,เครื่องดื่มแอลกอฮอล์
alert,อะเลิ้ร์ท,เตรียมพร้อม
algebra,อั๊ลจีบร้า,พีชคณิต
alibi,อั๊ลไลไบ,ข้อแก้ตัว
alien,เอ๊เลี่ยน,"แปลก,ต่างด้าว"
align,อะไลน,อยู่ในเส้นตรง
alike,อะไล้ค,เหมือน
alive,อะไล้ฝ,มีชีวิตอยู่
alkali,อั๊ลคาลาย,ด่าง
all,ออล,ทั้งหมด
allege,อัลลี๊จ,กล่าวหา
alligator ,แอ็ลลิเกเทอะ,จระเข้
allocate,อั๊ลโลเขท,"แบ่งให้,กำหนด"
allow,อะลาว,"อนุญาต,ยอมให้"
alloy,อัลลอย,"เจือปน,ผสม"
ally,อัลลาย,"ผูกพัน,พันธมิตร"
almost,อ๊อลโมสท,เกือบ
alone,อะโลน,"คนเดียว,โดเดี่ยว"
along,อะลอง,"ตาม(ถนน),ร่วมด้วย"
already,ออลเร๊ดี้,"มีอยู่แล้ว,เกิดขึ้นแล้ว"
alright,ออลไร๊ท,ดีแล้ว
also,อ๊อลโซ,"อีกด้วย,ด้วย"
alter,อั๊ลเท่อร์,แปลง
alternate,อั๊ลเทอร์เหนท,สลับกัน
although,ออลโทร,แม้ว่า
altitude,อั๊ลทิจูด,ระยะสูง
altogether,ออลทูเก๊ทเทร่อ,พร้อมกัน
alum,อาลัม,สารส้ม
always,อ๊อลเวย์ส,เสมอ
am,แอม,เป็น อยู่ คือ
amateur,อะเมเท่อร,สมัครเล่น
amaze,อะแม๊ซฺ,ทำให้ประหลาดใจ
ambassador,แอมบ๊าสซาเด้อร์,เอกอัคราชฑูต
ambition,แอมบิ๊ชั่น,ทะเยอทะยาน
ambulance,แอ๊มบูแล้นซ์,รถพยาบาล
ambush,แอ๊มบุช,ซุ่มโจมตี
amen,เอเมน,สาธุ
amend,อาเม็นด,"แก้ไข,แก้ตัว"
American Breakfast,อเมริกันเบรคฟาสต์,อาหารเช้าสไตล์อเมริกัน
american football,อะเมริกัน ฟุทบอล,อเมริกันฟุตบอล
americano,อเมริคาโน,กาแฟอเมริกาโน่
amid,เอมิด,"กลาง,ท่ามกลาง"
amnesty,แอ๊มเนสที่,นิรโทษกรรม
among,อะมอง,ในหมู่
amount,อะเม๊าท,รวมเป็นจำนวน
amplitude,แอ๊มพลิจูด,ความกว้างขวาง
amuse,อะมิ๊วส,"ทำให้เพลิดเพลิน,ขบขัน"
analogy,อะน๊าโลจี้,อุปมา
analyse,อ๊ะนาไล้ส,วิเคราะห์
anatomy,อะน๊าโทมี่,ร่างกาย
ancestor,แอ๊นเซสเท่อร,บรรพบุรุษ
anchor,แอ๊งเค่อร์,สมอ
ancient,แอ๊นเซี่ยนท,โบราณ
and,แอนด์,และ
angel,แอ๊งเจล,นางฟ้า
anger,แอ๊งเก้อร,โกรธ
angle,แอ๊งเจิ้ล,มุม
animal,แอ๊นิมอล,สัตว์
ankle,แอ๊งเคิล,ข้อเท้า
ankle bone ,แอ๊งเคิล โบน,กระดูกข้อเท้า
anniversary,แอนิเฝ๊อร์ซารี่,วันครบรอบ
announce,อะเน๊าซ,ประกาศ
announcer,แอนเนานฺ เซอะ,ผู้ประกาศ
annoy,แอนนอย,รำคาญ
annual,แอนน๊วล,ประจำปี
another,อะน๊าเทร่อร์,"คนอื่น,อีกคนหนึ่ง"
answer,แอ๊นเซ่อร,คำตอบ
ant,แอ๊นทึ,มด
anthem,แอ๊นเทร่ม,เพลงชาติ
anthology,แอนโท๊โลจี้,กลอน
anti-,แอ๊นไท,"ต่อต้าน,ขัดขวาง"
anticipate,แอนทิ๊ซิเพท,คาดล่วงหน้า
anticlockwise,แอนไทคล๊อคไว้ส์,ทวนเข็มนาฬิกา
antique,แอนที๊คว,โบราณ
anti-slip mattress,แอนทิ-สลิป แมทเทรส,แผ่นปูพื้นกันลื่น
anus,เอ๊เนิส,ช่องทวารหนัก
anxious,แอ๊นเซียส,"ห่วงใย,กังวล"
any,เอ๊นี่,"ใด,คนหนึ่งคนใด,บ้าง"
aorta,เออ๊อถะ,เส้นเลือดใหญ่
apart,อะพาร์ท,แยกออกต่างหาก
apartheid,อะพ๊าร์ไท้ด,นโยบายเหยียดสีผิว
apology,อะพ๊อโลจี้,ขอโทษ
appeal,แอพพีล,"อุธรณ์,ร้องเรียน"
appear,แอพเพียร์,ปรากฏ
appendix,เออะเพ็นดิกซ, ไส้ติ่ง
appetite,แอ๊พเพไท้ท,อยากอาหาร
Appetizer ,แอ๊ปพิไทเซอร์,อาหารเรียกน้ำย่อย
applaud,แอพพล้อด,"ปรบมือ,สรรเสริญ"
apple,แอ๊พเพิล,แอปเปิ้ล
apple juice,แอพเพิล-จูสฺ,น้ำแอปเปิ้ล
apply,แอ๊พพลาย,"ใช้ประโยชน์,สมัครงาน"
appoint,แอพพ๊อยท,แต่งตั้ง
appraise,แอพเพรส,ประเมิน
appreciate,แอพพรี๊ชิเอท,"ชอบ,ปลื้ม"
apprehend,แอพพรีเฮ็น,"เข้าใจ,ความเข้าใจ"
approach,แอพโพร๊ช,"เข้าใกล้,ทาบทาม,เข้าหา"
appropriate,แอพโพร๊พริเอท,"เหมาะ,สมควร"
approve,แอพพรู๊ฝ,อนุมัติ
approximate,แอพพร๊อกซิเหมท,"ประมาณ,ราวๆ"
apricot,apricot,เอพริคอต
aqua,อ๊าควา,น้ำ
arc,อ๊าร์ค,ส่วนโค้งเป็นวงกลม
archeologist,อาร์คีออล โลจิสทฺ,นักโบราณคดี
archery,อ๊าเชอะริ,ยิงธนู
architect,อาร์คิเทคทฺ,สถาปนิก
archives,อ๊าร์ไค้ฝส,ที่เก็บเอกสารสำคัญ
ardent,อ๊าเด็นท,อย่างแรงกล้า
are,อาร์,เป็น อยู่ คือ
area,แอ๊เรีย,พื้นที่
arena,อารี๊น่า,"สนาม,สังเวียน"
argue,อ๊าร์กิว,"โต้,เถียง"
arise,อะไร๊ส,"ลุกขึ้น,เกิดขึ้น"
arithmetic,อะริ๊ทเมติค,เลขคณิต
arm,อาร์ม,"แขน,อาวุธ"
armpit,อ๊ามพิท,รักแร้
aroma,อะโร๊ม่า,กลิ่นหอม
around,อะราวนฺดฺ,ล้อมรอบ
arrange,อะเร๊นจ์,"จัด,เตรียม,จัดการ"
array,อะเรย์,"ขบวน,ทิวแถว"
arrest,อะเร๊สท,จับกุม
arrive,อะไร๊ฝ,มาถึง
arrogant,อ๊ะโรแก้นท,หยิ่ง
arrow,แอ๊โร่,"ลูกธนู,ลูกศร"
arson,อ๊าร์ซั่น,ลอบวางเพลิง
art,อาร์ท,ศิลปะ
art room,อาท รูม,ห้องศิลปะ
artery,อ๊าเทอริ,เส้นเลือดแดง
article,อ๊าร์ทิเคิ่ล,"มาตรา,บทความ"
artificial,อาร์ทิฟิ๊เชี่ยล,"เทียม,ปลอม"
artist,อ๊าททิสท,ศิลปิน
as,แอส,"เหมือน,ดังที่,ขณะที่"
ash,แอช,เถ้าถ่าน
ashamed,อะเชมดฺ,ละอาย
ashore,อะชอร์,ขึ้นฝั่ง
aside,อะไซ๊ดฺ,เลี่ยงไป
ask,อาสคฺ,"ถาม,ขอร้อง"
asleep,อะสลี๊พ,หลับ
aspect,แอ๊สเพ็คท,"ลักษณะ,รูปร่าง"
aspire,แอสไพร์,ปารถนา
assassinate,แอสซ๊าซิเหนท,ลอบฆ่า
assault,แอสซั๊ลท,โจมตี
assemble,แอสเซ๊มเบิ้ล,"รวบรวม,ประชุม"
assent,แอสเซ๊นท,ยอมรับ
assess,แอสเซ๊ส,ประเมิน
asset,แอ๊สเส็ท,ทรัพย์สิน
assign,แอสไซนฺ,มอบหมาย
assist,แอสซิ๊สท,ช่วยเหลือ
associate,แอสโซ๊ซิเอท,"เข้าร่วม,เกี่ยวเนื่อง"
assume,แอสซูม,สมมุติ
assure,แอสชัวร์,"รับประกัน,แน่นอน"
astronaut,แอ๊สทระนอท,นักบินอวกาศ
astronomer,แอสโตร โนเมอะ,นักดาราศาสตร์
asylum,อะไซ๊ลั่ม,ที่ลี้ภัย
at,แอ็ท,ที่
athlete,แอธ ลีท,นักกีฬา
athletics,แอ็ธเล๊ะทิคส์,กรีฑา
atlas,แอ๊ทลาส,แผนที่
atmosphere,แอ๊ทโมสเฟียรฺ,บรรยากาศ
attach,แอทแท๊ช,"แนบ,ผูกติด"
attack,แอทแท๊ค,เข้าตี
attain,แอทเทน,บรรลุ
attempt,แอทเท๊มพท,พยายาม
attend,แอทเท็นด,"ตั้งใจ,เอาใจใส่"
attitude,แอ๊ททิจูด,ท่าที
attract,แอทแทร็คท,ดึงดูด
attribute,แอ๊ททริบิ้วทฺ,อ้างเหตุว่า
auction,อ๊อคชั่น,ประมูล
audience,อ๊อเดี่ยนซ,"ผู้ชม,ผู้ฟัง"
audit,อ๊อดิท,ตรวจสอบ
auditor,ออ ดิเทอะ,ผู้ตรวจสอบบัญชี
auditorium,ออดิท๊อเรียม,หอประชุม
aunt,อั๊นท,ป้า
aura,อ๊อร่า,รัศมี
authentic,ออเท๊นทิค,แท้จริง
author,ออ เธอะ,นักประพันธ์
authority,ออร์โท๊ริที่,"เจ้าหน้าที่,อำนาจ"
auto,อ๊อโท่,รถยนต์
auto-,อ๊อโท่,อัตโนมัติ
autumn,อ๊อทั่มน,ฤดูใบไม้ร่วง
auxiliary,ออกซิ๊เลียรี่,"ช่วย,เครื่องช่วย"
avenue,แอ๊ฝเฝนิว,ถนน
average,แอ๊ฝเฝอร์เหรจ,เฉลี่ย
aviation,เอฝิเอ๊ชั่น,การบิน
aviator,เอ วิเอเทอะ,กัปตันเครื่องบิน
avocado,แอฝเวอะค๊าโด,อะโวคาโด
avoid,อะฝอยด,หลีกเลี่ยง
await,อะเว๊ท,คอย
awake,อะเว้ค,"ตื่น,ปลุก"
award,อะหวอร์ด,ตัดสิน
aware,อะแวร์,รับรู้
away,อะเวย์,ห่างไป
awe,ออว์,"เกรงขาม,หวาดเสียว"
awhile,อะวายลฺ,สักครู่
axe,แอ็กซ์,"ขวาน,ตัด"
axis,แอ๊กซิส,แกน
babe,เบ้บ,ทารก
Baby,เบบี้,เด็กทารก
baby powder,เบบี้ พาวเดอร์,แป้งเด็ก
babysitter,เบ๊ะบิซิทเทอะ,พี่เลี้ยงเด็ก
bachelor,แบ๊ชเชลเล่อร์,ปริญาตรี
back,แบ็ค,"หลัง,ถอยหลัง"
back bone,แบ็คโบน,กระดูกสันหลัง
back brush,แบค บรัช,แปรงถูหลัง
bacon,เบคอน,เบคอน
bad,แบ้ด,เลว
badminton,แบ๊ดมินเทิน,แบดมินตัน
bael fruit juice,เบลฟรุท จูส,น้ำมะตูม
bag,แบ๊ก,"ถุง,ห่อ"
bail,เบล,ประกันตัว
bake,เบ๊ก,อบ
baker,เบ เคอะ,คนทําขนมปัง
balance,บ๊าล่านซ์,"สมดุล,ถ่วงดุล"
bald,บาลดฺ,หัวล้าน
bamboo,แบมบู,ไม้ไผ่
bamboo shoot,แบมบู-ชูท,หน่อไม้
ban,แบน,ห้าม
banana,บะน๊านะ,กล้วย
Banana Cupcake,บะแนน’นะคับเค้ก,เค้กกล้วยหอม
band,แบนด์,"แถบ,วงดนตรี"
bandit,แบ๊นดิท,โจร
bang,แบง,เสียงดังปัง
bank,แบ๊งค,"ฝั่ง,กอง,ธนาคาร"
banker,แบง เคอะ,นายธนาคาร
bankrupt,แบ๊งค-รัพทฺ,ล้มละลาย
banner,แบ๊นเน่อร์,"ธง,ป้าย"
banquet,แบ๊งเควท,"การเลี้ยง,งานเลี้ยง"
bar,บาร์,"ลูกกรง,ขวาง"
bar soap,บาร์ โซพ,สบู่ก้อน
Barbecue ,บาร์’บิคิว,บาร์บีคิว
barber,บ๊าเบอะ,ช่างตัดผม
bare,แบร์,เปลือย
bargain,บ๊าร์เก้น,ต่อรอง
bark,บาร์ค,เห่า
barman,บาร์ เมิน,พนักงานบาร์ผู้ชาย
barrel,บ๊าร์เรล,"ถังไม้,158.89 ลิตร"
barricade,แบรริเขด,"ขวาง,กั้น"
barrier,แบ๊ริเอ้อร์,"เครื่องกั้น,อุปสรรค"
barrister,แบร์ ริสเทอะ,ทนายความ
bartender,บาร์ เทนเดอะ,บาร์เทนเดอร์
barter,บ๊าร์เท่อร์,แลกเปลี่ยน
base,เบส,"ฐาน,หลัก"
baseball,เบ๊สบอล,เบสบอล
basis,เบ๊สิส,"เกณฑ์,ฐาน"
basket,บ๊าสเก็ต,"กระจาด,ตระกร้า"
basketball,บ๊าสกิท บอล,บาสเก็ทบอล
basketball court,บ๊าสกิทบอล คอท,สนามบาสเก็ตบอล
bat,แบ็ท,ค้างคาว
bath,บ๊าทร,"อาบน้ำ,ชำระ"
bath mat,บาธ แมท,พรมเช็ดเท้าในห้องน้ำ
bathrobe,บาธโรบ,เสื้อคลุมอาบน้ำ
bathroom,บ๊าธรูม,ห้องน้ำ
bathtub,บ๊าธทับ,อ่างอาบน้ำ
battle,แบ๊ทเทิ้ล,"รบ,ปะทะ"
bay,เบย์,อ่าว
bazaar,บาซาร์,ตลาด
be,บี,"เป็น,อยู่,คือ"
beach,บีช,หาดทราย
beam,บีม,คาน
bean,บีน,"ถั่ว, ถั่วแขก"
bear,แบ,หมี
beard,เบียร์ด,เครา
beast,บี๊สท,"สัตว์เดรัฐฉาน,ดุร้าย"
beat,บีท,"ตี,ทุบ"
beauty,บิ๊วที่,"สวย,งาม"
become,บีคัม,กลายมาเป็น
bed,เบด,เตียงนอน
bedroom,เบ๊ดรูม,ห้องนอน
bee,บี,ผึ้ง
beef,บี๊ฟ,เนื้อวัว
beer,เบียร์,เบียร์
before,บีฟอร์,"ก่อน,ต่อหน้า"
beg,เบ๊ก,"ขอร้อง,อ้อนวอน"
beggar,เบ๊กก้าร์,ขอทาน
begin,บีกิน,เริ่มต้น
behalf,บีฮาล์ฟ,ในนามของ
behave,บีแฮฝ,พฤติการณ์
behind,บีฮายน์,ข้างหลัง
believe,บีลี๊ฝ,"เชื่อ,ศรัทธา"
bell,เบลล์,กระดิ่ง
belly,เบ็ลลิ,ท้อง
belong,บีลอง,เป็นของ
beloved,บีเลิ๊ฝ,เป็นที่รัก
below,บีโลว์,"ต่ำกว่า,เบื้องใต้"
belt,เบ๊ลท์,เข็มขัด
bench,เบ๊นช,ม้านั่ง
beneath,บีนี๊ทร,"ใต้,ต่ำกว่า"
benefit,เบ๊เนฝิต,ประโยชน์
beside,บีไซด์,"ข้าง,นอกจาก"
besiege,บีซี๊จ,"ล้อม,กลุ้มรุม"
best,เบ๊สท์,ดีที่สุด
bestow,บีโทว์,สละให้
bet,เบ๊ท,พนัน
betray,บีเทรย์,ทรยศ
better,เบ๊ทเท่อร์,ดีกว่า
between,บีทะวีน,ระหว่าง
beverage,เบ๊ฝเวอร์เหรจ,เครื่องดื่ม
beware,บีแวร์,ระวัง
beyond,บียอนด์,"พ้น,โพ้น,เกิน,นอกจาก"
bi-,ไบ,สอง
bias,ไบ๊แอดส,อคติ
bid,บิด,"ให้ราคา,ประมูลราคา"
bidet,บีเดย์,โถปัสสาวะ
big,บิ๊ก,ใหญ่
bile,ไบล,น้ำดี
bill,บิลล์,"บัญชีรายการ,พรบ.,ตั๋วเงิน"
billiards,บิล เยิร์ดส,บิลเลียด
billion,บิ๊ลเลี่ยน,พันล้าน
bio-,ไบโอ,ชีวะ
biography,ไบโอ๊กราฟฟี่,ประวัติบุคคล
biologist,ไบออล ละจิสทฺ,นักชีววิทยา
biology,ไบโอ๊โลจี้,ชีววิทยา
bird,เบิด,นก
bird chilli,เบิร์ด-ชิลลิ,พริกขี้หนู
birth,เบริ๊ท,เกิด
birthmark,เบิ๊ธมาค,ปาน
biscuit,บิส’คิท,ขนมปังบิสกิต
bishop,บิ๊ฉอพ,พระในศาสนาคริสต์
bison,ไบ๊เซิน,วัวป่า
bite,ไบ้ท์,กัด
bitter,บิ๊ทเท่อร์,"ขม,ขมขื่น"
bitter gourd,บิทเทอะ-กอร์ด,มะระ
bizarre,บิซารร์,ประหลาด
black,แบล็ค,สีดำ
black bean,แบลค-บีน,ถั่วดำ
black coffee,แบล็ค คัฟฟี่,กาแฟดำ
black tea,แบล็ค ธี,ชาดำ
Black tea ,แบลค ที, ชาดำ
blackboard,แบล็คบอด,กระดานดำ
blackmail,แบล๊คเมล,ขู่กรรโชก
blade,เบลด,ใบมีด
blame,เบลม,"ตำหนิ,โทษ"
blank,แบล๊งค,"เปล่า,ว่างเปล่า"
blanket,แบล็งคิท,ผ้าห่ม
blast,บลาสทํ,ระเบิด
blaze,เบลซ,โชติช่วง
bleak,บลี๊ค,"อ้างว้าง,เศร้า"
blend,เบลนดฺ,ผสมผสาน
bless,เบล๊ส,ให้พร
blind,ไบลนฺดฺ,บอด
blink,บลิ๊งค,กระพริบตา
block,บล๊อค,กีดขวาง
blond,บลอนด์,สีบลอนด์
blood,บลัด,"เลือด,เลือดออก"
bloom,บลูม,เบ่งบาน
blossom,บล๊อสซั่ม,"แตกเนื้อหนุ่ม,ออกดอก"
blow,โบลว์,เป่า
blue,บลู,สีน้ำเงิน
blueberry,บลู๊เบอะริ,บลูเบอร์รี่
blur,เบลอร์,"พร่า,มัว"
board,บอร์ด,"ไม้กระดาน,คณะกรรมการ"
boat,โบ๊ท,เรือ
body,บ๊อดี้,"ร่างกาย,ทั้งตัว,ศพ"
body lotion,บอดี โลเชิน,ครีมทาตัว
body power,บอดี พาวเดอร์,แป้งฝุ่นโรยตัว
boil,บอยลฺ,"ต้ม,เดือด"
Boiled egg,บอลดฺ  เอก,ไข่ต้ม
bold,โบลดฺ,"เด่น,ชัด,อาจหาญ"
bolt,โบ๊ลทฺ,"สลัก,น๊อต"
bomb,บอมบฺ,"ระเบิด,กระหน่ำ"
bond,บอนดฺ,"ผูกมัด,พันธบัตร"
bone,โบน,"กระดูก,ก้าง"
bonus,โบ๊นัส,รางวัลพิเศษ
book,บุค,หนังสือ
book seller,บุค เซล เลอะ,คนขายหนังสือ
boom,บูม,เจริญ
boost,บู๊สทฺ,ส่งเสริม
boot,บู๊ท,รองเท้าหุ้มส้น
border,บ๊อร์เด้อรฺ,"พรมแดน,ขอบ,ริม"
bore,บอรฺ,เบื่อ
borrow,บ๊อโร่ว,"กู้,ยืม"
bosom,บุ๊เซิม,เต้านม
boss,บ๊อสสฺ,"นาย,หัวหน้า"
both,โบทรฺ,ทั้งสอง
bother,บ๊อเทร่อรฺ,รบกวน
bottle,บ๊อทเทิ่ล,ขวด
bottom,บ๊อทเทิม,ก้น
bottom,บ๊อทท่อม,"ต่ำสุด,ก้น"
bounce,เบ๊าสฺ,กระแทก
bound,บาวนฺดฺ,ขอบเขต
bow,บาว,คำนับ
bowels,บาวลส์,ลำไส้
bowl,โบว์ล,ขันน้ำ
bowling,โบ๊ลิง,โบว์ลิ่ง
box,บ๊อกซฺ,"กล่อง,ชก"
boxing,บ็อกซิ่ง,ต่อยมวย
boycott,บ๊อยขอททฺ,คว่ำบาตร
brain,เบรน,สมอง
brake,เบรค,"เบรค,ห้ามล้อ"
branch,บร๊านชฺ,"กิ่งก้าน,สาขา"
brand,แบรนดฺ,ยี่ห้อ
brandy,แบรนดี้,บรั่นดี
brass,บร๊าสสฺ,ทองเหลือง
brave,เบร๊ฝ,กล้าหาญ
Bread,เบรด,ขนมปัง
breadfruit,เบร็ดฟรุทฺ,สาเก
break,เบร๊ค,"แตก,ทำลาย"
breakfast,เบรค’ฟาสทฺ,"อาหารเช้า, อาหารมื้อเช้า"
breast,บรี๊สทฺ,หน้าอก
breath,บรี๊ทฺรฺ,หายใจ
breed,บรีด,"เพาะพันธุ์,ผสมพันธุ์"
breeze,บร๊ซ,ลมอ่อนๆ
bribe,ไบรบํ,สินบน
brick,บริ๊ค,อิฐ
bride,ไบรดํ,เจ้าสาว
bridge,บริดจ,สะพาน
brief,บริ๊ฟ,สรุปสั้นๆ
bright,ไบร๊ท,"สว่าง,ฉลาด"
brilliant,บริ๊ลเลี่ยนทํ,"สุกใส,หลักแหลม"
bring,บริง,"พามา,นำมา"
broad,บรอด,กว้าง
broccoli,บรอค’คะลี,บรอกโคลี
broker,โบร เคอะ,นายหน้าซื้อขาย
Brother,บรา'เธอะ,"พี่ชาย, น้องชาย"
brown,บราวน,สีน้ำตาล
Brown sugar,บราว์นฺ ชู’กะ, น้ำตาลทรายแดง
brush,บรัช,"แปรง,ปัด"
bubble,บั๊บเบิ้ล,ฟอง
buck,บั๊ค,ดอลลาร์
bucket,บัคเคท,ถังน้ำ
bud,บัด,ตา(ที่จะโตเป็นกิ่งหรือดอก)
buddy,บั๊ดดี้,เพื่อน
budget,บั๊ดเจ๊ท,งบประมาณ
buffalo,บั๊ฟฟะโล,ควาย
buffer,บั๊ฟเฟ่อร์,ปะทะไว้
Buffet,บุฟเฟ่ต์,อาหารตักกินได้ไม่อั้น
bug,บั๊ก,แมลง
build,บิ้ลดํ,สร้าง
bulb,บั้ลบํ,กระเปาะ
bulk,บั๊ลคํ,"ขนาด,ใหญ่โต"
bull,บูลล,วัว
bullet,บัลเล่,กระสุน
bulletin,บู๊เลทิน,แถลงการณ์
bump,บั๊มพํ,"ชน,กระแทก"
bun,บัน,ขนมปังนุ่ม
bundle,บั๊นเดิ้ล,ห่อ
buoy,บอย,"ทุ่น,ทำให้ลอย"
burden,เบ๊อรํเด้น,ภาระ
bureaucrat,บู๊โรแครท,ข้าราชการ
burger,เบ๊อเกอะ,เบอร์เกอร์
Burger Bun,เบอเกอ-บัน,ขนมปังเบอร์เกอร์
burglar,เบ๊อร์กล้ารํ,ขโมย
burn,เบิร์น,"เผา,ไหม้"
burst,เบิ๊ร์สท,ระเบิด
bury,เบ๊อรี่,ฝัง
bus,บัส,รถเมล์
bush,บุช,พุ่มไม้
busy,บี๊ซี่,"ยุ่ง,มีธุระ"
but,บั๊ท,แต่
butcher,บูช เชอะ,คนขายเนื้อ
butter,บั๊ทเท่อรํ,เนย
Butter ,บัท’เทอะ," เนย,เนยเหลว"
butterfly,บั๊ทเทอะฟลาย,ผีเสื้อ
